TestId,PredictedScore
1,0.86
2,0.0
3,0.98
4,0.92
5,0.69
6,0.93
7,0.84
8,0.91
9,0.89
10,0.76
11,0.32
12,0.97
13,0.01
14,0.89
15,0.91
16,0.6716666666666665
17,1.0
18,0.09
19,0.57
20,0.38
21,0.9
22,1.0
23,0.96
24,0.47
25,0.8583333333333333
26,0.9
27,0.55
28,0.82
29,0.87
30,0.75
31,0.78
32,0.07
33,0.92
34,0.97
35,0.93
36,0.687
37,0.76
38,0.7
39,0.01
40,0.8
41,0.94
42,0.96
43,0.802
44,0.82
45,0.12
46,0.95
47,0.83
48,0.97
49,0.8
50,0.79
51,0.5
52,0.07
53,0.97
54,0.73
55,0.97
56,0.83
57,0.94
58,0.84
59,0.34
60,0.84
61,0.96
62,1.0
63,0.31
64,0.66
65,0.99
66,0.95
67,0.20428571428571426
68,0.94
69,0.81
70,0.9
71,1.0
72,0.38
73,0.99
74,0.21
75,0.93
76,0.99
77,0.97
78,0.94
79,0.89
80,0.85
81,0.67
82,0.84
83,0.88
84,0.98
85,0.88
86,0.72
87,0.76
88,0.92
89,0.83
90,0.6133333333333334
91,0.95
92,0.94
93,0.1
94,0.91
95,0.97
96,0.87
97,0.22
98,0.57
99,0.215
100,0.7
101,0.91
102,0.86
103,0.9
104,0.63
105,0.01
106,0.76
107,0.93
108,0.32
109,0.735
110,0.99
111,0.95
112,0.8125
113,0.745
114,0.61
115,0.82
116,1.0
117,0.82
118,0.9
119,0.99
120,0.43450000000000005
121,0.89
122,0.33
123,0.97
124,0.93
125,0.89
126,0.8
127,0.89
128,0.74
129,0.09
130,0.24
131,0.84
132,0.95
133,0.7
134,0.97
135,0.77
136,0.15
137,0.2
138,0.085
139,0.84
140,0.9
141,0.87
142,0.89
143,0.86
144,0.67
145,0.85
146,0.3666666666666667
147,0.95
148,0.83
149,0.9
150,0.96
151,0.98
152,0.62
153,0.88
154,0.88
155,1.0
156,0.65
157,0.76
158,0.61
159,0.93
160,0.83
161,0.07
162,0.93
163,0.96
164,0.84
165,0.91
166,0.79
167,0.83
168,0.04
169,0.8466666666666666
170,0.442
171,0.79
172,0.98
173,0.88
174,0.98
175,0.88
176,0.85
177,0.46
178,0.92
179,0.68
180,0.17
181,0.83
182,0.9033333333333334
183,0.82
184,0.97
185,0.9
186,0.37
187,0.4825
188,0.875
189,0.89
190,0.96
191,0.86
192,0.37
193,0.93
194,0.68
195,0.93
196,0.77
197,0.96
198,0.07
199,0.75
200,0.96
201,0.97
202,0.95
203,0.5266666666666667
204,0.93
205,0.24
206,0.92
207,0.86
208,0.94
209,0.75
210,0.75
211,0.382
212,0.23
213,0.95
214,0.46
215,0.87
216,0.73
217,0.86
218,0.83
219,0.73
220,0.8475
221,0.96
222,0.89
223,0.73
224,0.98
225,0.85
226,0.79
227,0.05
228,0.83
229,0.01
230,0.79
231,0.93
232,0.91
233,0.91
234,0.89
235,0.83
236,0.98
237,1.0
238,0.83
239,0.84
240,0.53
241,0.96
242,0.74
243,0.75
244,0.87
245,0.946
246,0.31
247,0.08
248,0.72
249,0.9
250,0.97
251,0.96
252,0.82
253,0.8
254,0.6403333333333333
255,0.97
256,0.27666666666666667
257,0.91
258,0.9
259,0.715
260,0.09
261,0.93
262,0.16
263,0.95
264,0.64
265,0.74
266,0.8
267,0.74
268,0.96
269,0.99
270,0.72
271,0.92
272,0.99
273,0.9125
274,0.97
275,0.9
276,1.0
277,0.95
278,0.14
279,0.86
280,0.93
281,0.92
282,0.91
283,0.99
284,0.0
285,0.93
286,0.05
287,0.8066666666666665
288,0.99
289,0.49
290,0.89
291,0.76
292,0.71
293,0.8
294,0.71
295,0.99
