TestId,PredictedScore
1,0.85
2,0.46
3,0.80
4,0.66
5,0.76
6,0.56
7,0.65
8,0.16
9,0.67
10,0.58
11,0.06
12,0.93
13,0.58
14,0.22
15,0.86
16,0.33
17,0.03
18,0.31
19,0.05
20,0.60
21,0.86
22,0.94
23,0.44
24,0.48
25,0.27
26,0.39
27,0.30
28,0.77
29,0.01
30,0.63
31,0.93
32,0.51
33,0.60
34,0.27
35,0.79
36,0.63
37,0.31
38,0.14
39,0.99
40,0.12
41,0.57
42,0.54
43,0.07
44,0.99
45,0.42
46,0.29
47,0.54
48,0.14
49,0.66
50,0.30
51,0.08
52,0.02
53,0.74
54,0.16
55,0.56
56,0.92
57,0.77
58,0.09
59,0.51
60,0.58
61,0.69
62,0.46
63,0.38
64,0.41
65,0.27
66,0.84
67,0.06
68,0.94
69,0.75
70,0.45
71,0.63
72,0.10
73,0.69
74,0.17
75,0.97
76,0.81
77,0.27
78,0.32
79,0.31
80,0.43
81,0.79
82,0.25
83,0.02
84,0.96
85,0.44
86,0.42
87,0.75
88,0.88
89,0.25
90,0.97
91,0.38
92,0.07
93,0.48
94,0.86
95,0.20
96,0.87
97,0.86
98,0.20
99,0.47
100,0.84
101,0.47
102,0.49
103,0.54
104,0.12
105,0.53
106,0.93
107,0.35
108,0.40
109,0.92
110,0.09
111,0.31
112,0.08
113,0.01
114,0.68
115,0.95
116,0.46
117,0.55
118,0.07
119,0.12
120,0.25
121,0.84
122,0.77
123,0.07
124,0.54
125,0.19
126,0.70
127,0.31
128,0.01
129,0.82
130,0.05
131,0.35
132,0.65
133,0.79
134,0.83
135,0.71
136,0.11
137,0.13
138,0.75
139,0.38
140,0.38
141,0.78
142,0.27
143,0.31
144,0.22
145,0.77
146,0.49
147,0.77
148,0.73
149,0.52
150,0.98
151,0.12
152,0.67
153,0.14
154,0.41
155,0.17
156,0.73
157,0.09
158,0.30
159,0.22
160,0.34
161,0.05
162,0.48
163,0.39
164,0.65
165,0.07
166,0.76
167,0.38
168,0.21
169,0.05
170,0.17
171,0.48
172,0.74
173,0.96
174,0.73
175,0.43
176,0.02
177,0.75
178,0.43
179,0.02
180,0.91
181,0.67
182,0.97
183,0.04
184,0.07
185,0.98
186,0.45
187,0.30
188,0.30
189,0.19
190,0.80
191,0.60
192,0.05
193,0.85
194,0.01
195,0.92
196,0.85
197,0.73
198,0.82
199,0.13
200,0.00
201,0.55
202,0.87
203,0.27
204,0.02
205,0.73
206,0.52
207,0.77
208,0.53
209,0.28
210,0.60
211,0.62
212,0.11
213,0.27
214,0.79
215,0.42
216,0.46
217,0.70
218,0.05
219,0.16
220,0.77
221,0.83
222,0.16
223,0.51
224,0.96
225,0.56
226,0.97
227,0.86
228,0.81
229,0.64
230,0.50
231,0.61
232,0.04
233,0.45
234,0.32
235,0.05
236,0.31
237,0.57
238,0.97
239,0.36
240,0.33
241,0.53
242,0.83
243,0.51
244,0.93
245,0.47
246,0.84
247,0.46
248,0.26
249,0.33
250,0.57
251,0.25
252,0.46
253,0.49
254,0.74
255,0.64
256,0.84
257,0.16
258,0.18
259,0.16
260,0.99
261,0.46
262,0.67
263,0.49
264,0.62
265,0.10
266,0.29
267,0.29
268,0.13
269,0.02
270,0.68
271,0.73
272,0.08
273,0.40
274,0.69
275,0.84
276,0.92
277,0.50
278,0.90
279,0.41
280,0.72
281,0.83
282,0.40
283,0.77
284,0.52
285,0.59
286,0.31
287,0.98
288,0.93
289,0.02
290,0.76
291,0.20
292,0.21
293,0.96
294,0.84
295,0.10
296,0.58
297,0.38
298,0.66
299,0.38
300,0.21
301,0.40
302,0.28
303,0.88
304,0.95
305,0.06
306,0.21
307,0.54
308,0.43
309,0.27
310,0.76
311,0.68
312,0.38
313,0.82
314,0.65
315,0.10
316,0.90
317,0.49
318,0.78
319,0.60
320,0.09
321,0.30
322,0.78
323,0.44
324,0.17
325,0.88
326,0.79
327,0.69
328,1.00
329,0.92
330,0.05
331,1.00
332,0.66
333,0.58
334,0.57
335,0.83
336,0.04
337,0.53
338,0.93
339,0.39
340,0.65
341,0.42
342,0.51
343,0.62
344,0.83
345,0.64
346,0.67
347,0.01
348,0.88
349,0.18
350,0.25
351,0.19
352,0.87
353,0.41
354,0.37
355,0.28
356,0.72
357,0.52
358,0.21
359,0.88
360,0.40
361,0.64
362,0.78
363,0.21
364,0.32
365,0.93
366,0.93
367,0.58
368,0.68
369,0.77
370,0.15
371,0.38
372,0.28
373,0.46
374,0.66
375,0.24
376,0.49
377,0.94
378,0.41
379,0.04
380,0.58
381,0.51
382,0.31
383,0.17
384,0.62
385,0.30
386,0.55
387,0.59
388,0.88
389,0.15
390,0.14
391,0.44
392,0.90
393,0.69
394,0.35
395,0.44
396,0.20
397,0.82
398,0.40
399,0.24
400,0.07
401,0.37
402,0.14
403,0.85
404,0.26
405,0.67
406,0.01
407,0.70
408,0.64
409,0.77
410,0.12
411,0.30
412,0.70
413,0.72
414,0.28
415,0.70
416,0.95
417,0.92
418,0.24
419,0.92
420,1.00
421,0.58
422,0.97
423,0.14
424,0.75
425,0.75
426,0.90
427,0.98
428,0.34
429,0.16
430,0.54
431,0.54
432,0.69
433,0.04
434,0.20
435,0.78
436,0.64
437,0.55
438,0.29
439,0.24
440,0.90
441,0.94
442,0.31
443,0.19
444,0.11
445,0.96
446,0.75
447,0.23
448,0.82
449,0.09
450,0.78
451,0.90
452,0.70
453,0.73
454,0.73
455,0.96
456,0.19
457,0.27
458,0.84
459,0.73
460,0.53
461,0.83
462,0.35
463,0.28
464,0.85
465,0.68
466,0.72
467,0.07
468,0.07
469,0.58
470,0.73
471,0.59
472,0.99
473,0.19
474,0.27
475,0.65
476,0.79
477,0.19
478,0.97
479,0.95
480,0.85
481,0.87
482,0.39
483,0.34
484,0.61
485,0.77
486,0.76
487,0.63
488,0.97
489,0.38
490,0.32
491,0.19
492,0.27
493,0.73
494,0.11
495,0.51
496,0.40
497,0.19
498,0.31
499,0.98
500,0.28
501,0.74
502,0.89
503,0.64
504,0.13
505,0.68
506,0.54
507,0.28
508,0.82
509,0.59
510,0.65
511,0.09
512,0.74
513,0.09
514,0.18
515,0.98
516,0.73
517,0.23
518,0.99
519,0.17
520,0.24
521,0.67
522,0.97
523,0.21
524,0.58
525,0.95
526,0.79
527,0.77
528,0.20
529,0.44
530,0.62
531,0.09
532,0.36
533,0.29
534,0.15
535,0.51
536,0.82
537,0.32
538,0.11
539,0.42
540,0.61
541,0.77
542,0.58
543,0.02
544,0.14
545,0.40
546,0.01
547,0.04
548,0.77
549,0.02
550,0.40
551,0.45
552,0.52
553,0.35
554,0.25
555,0.49
556,0.76
557,0.70
558,0.30
559,0.44
560,0.39
561,0.01
562,0.34
563,0.91
564,0.19
565,0.49
566,0.72
567,0.14
568,0.79
569,0.51
570,0.27
571,0.55
572,0.62
573,0.43
574,0.48
575,0.45
576,0.08
577,0.16
578,0.09
579,0.01
580,0.49
581,0.15
582,0.42
583,0.67
584,0.39
585,0.41
586,0.91
587,0.73
588,0.69
589,0.35
590,0.60
591,0.83
592,0.97
593,0.22
594,0.72
595,0.39
596,0.09
597,0.82
598,0.31
599,0.27
600,0.92
601,0.84
602,0.70
603,0.27
604,0.20
605,0.75
606,0.65
607,0.74
608,0.52
609,0.06
610,0.58
611,0.27
612,0.79
613,0.54
614,0.98
615,0.98
616,0.79
617,0.88
618,0.93
619,0.66
620,0.78
621,0.38
622,0.90
623,0.53
624,0.89
625,0.86
626,0.36
627,0.25
628,0.43
629,0.11
630,0.77
631,0.51
632,0.90
633,0.58
634,0.73
635,0.45
636,0.12
637,0.75
638,0.73
639,0.48
640,0.18
641,0.25
642,0.01
643,0.25
644,0.02
645,0.90
646,0.85
647,0.61
648,0.43
649,0.49
650,0.37
651,0.53
652,0.88
653,0.72
654,0.04
655,0.26
656,0.39
657,0.65
658,0.72
659,0.22
660,0.08
661,0.71
662,0.27
663,0.26
664,0.13
665,0.35
666,0.78
667,0.29
668,0.19
669,0.40
670,0.36
671,0.65
672,0.49
673,0.41
674,0.53
675,0.20
676,0.90
677,0.56
678,0.48
679,0.82
680,0.83
681,0.63
682,0.50
683,0.10
684,0.19
685,0.27
686,0.59
687,0.52
688,0.77
689,0.75
690,0.96
691,0.21
692,0.03
693,0.71
694,0.31
695,0.19
696,0.55
697,0.93
698,0.70
699,0.00
700,0.06
701,0.00
702,0.23
703,0.55
704,0.71
705,0.21
706,0.54
707,0.26
708,0.95
709,0.92
710,0.29
711,0.18
712,0.77
713,0.09
714,0.75
715,0.42
716,0.71
717,0.16
718,0.14
719,0.65
720,0.18
721,0.71
722,0.53
723,0.40
724,0.16
725,0.35
726,0.81
727,0.05
728,0.19
729,0.36
730,0.11
731,0.82
732,0.38
733,0.65
734,0.86
735,0.26
736,0.92
737,0.16
738,0.17
739,0.69
740,0.61
741,0.88
742,0.95
743,0.29
744,0.54
745,0.69
746,0.01
747,0.54
748,0.44
749,0.30
750,0.05
751,0.92
752,0.65
753,0.61
754,0.68
755,0.67
756,0.94
757,0.00
758,0.42
759,0.95
760,0.25
761,0.75
762,0.83
763,0.54
764,0.42
765,0.48
766,0.15
767,0.69
768,0.97
769,0.77
770,0.07
771,0.54
772,0.03
773,0.97
774,0.99
775,1.00
776,0.01
777,0.45
778,0.32
779,0.76
780,0.92
781,0.15
782,0.53
783,0.67
784,0.08
785,0.90
786,0.73
787,0.04
788,0.40
789,0.49
790,0.43
791,0.19
792,0.02
793,0.19
794,0.95
795,0.61
796,0.23
797,0.37
798,0.89
799,0.37
800,0.43
801,0.49
802,0.49
803,0.71
804,0.38
805,0.27
806,0.34
807,0.55
808,0.81
809,0.81
810,0.20
811,0.63
812,0.56
813,0.23
814,0.81
815,0.71
816,0.15
817,0.63
818,0.93
819,0.96
820,0.15
821,0.63
822,0.76
823,0.38
824,0.90
825,0.41
826,0.51
827,0.54
828,0.24
829,0.00
830,0.22
831,0.25
832,0.20
833,0.34
834,0.46
835,0.50
836,0.02
837,0.88
838,0.89
839,0.39
840,0.49
841,0.70
842,0.96
843,0.48
844,0.19
845,0.06
846,0.86
847,0.44
848,0.99
849,0.13
850,0.98
851,0.17
852,0.14
853,0.11
854,0.56
855,0.94
856,0.11
857,0.76
858,0.39
859,0.05
860,0.85
861,0.53
862,0.83
863,0.22
864,0.31
865,0.98
866,0.44
867,0.53
868,0.54
869,0.26
870,0.09
871,0.06
872,0.03
873,0.21
874,0.84
875,0.78
876,0.83
877,0.58
878,0.92
879,0.12
880,0.17
881,0.59
882,0.07
883,0.38
884,0.53
885,0.93
886,0.93
887,0.90
888,0.39
889,0.12
890,0.24
